id|first_name|last_name|phone|addr1|addr2|city|state|zipcode|account|details1|amount1|details2|amount2|details3|amount3
1|Marcela|Horley|504-286-8099|Sullivan|1 Twin Pines Terrace|Metairie|LA|70005|3533049621738290|Games|1585.41|Computers|2034.31|Outdoors|3942.61
2|Tamiko|Kearns|304-393-0993|Clyde Gallagher|154 Independence Road|Huntington|WV|25726|3559914002551811|Toys|125.17|Tools|8408.96|Movies|4483.48
3|Viv|Barribal|410-763-0508|Twin Pines|5 Holy Cross Center|Baltimore|MD|21211|5554340140542316|Beauty|6182.98|Outdoors|8303.21|Outdoors|3511.20
4|Tedd|Leehane|212-516-4292|Armistice|7 Ruskin Junction|New York City|NY|10004|30207522748685|Music|2723.57|Health|421.10|Toys|5677.17
5|Brook|Freyne|302-704-5614|Tennessee|4 Buena Vista Hill|Newark|DE|19714|3542684121253348|Industrial|7968.88|Outdoors|405.91|Grocery|8211.97
6|Cornie|Malins|602-980-4932|Northland|683 Swallow Crossing|Chandler|AZ|85246|3581061445219952|Outdoors|7709.96|Baby|4743.66|Computers|1950.48
7|Jarad|McIlvaney|662-413-7982|Sauthoff|1397 Oneill Junction|Columbus|MS|39705|5108758291946443|Health|7568.43|Home|506.19|Beauty|3701.76
8|Erny|Juniper|503-583-0247|Mallard|074 Prentice Lane|Portland|OR|97286|3550075430292243|Sports|4770.08|Clothing|9902.11|Kids|1709.42
9|Linea|Gover|251-208-2247|Shasta|3453 Golf Course Avenue|Mobile|AL|36605|3542649086867549|Tools|9793.28|Books|8378.06|Music|5615.30
10|Alasteir|Dike|817-464-2190|Eagle Crest|446 Dixon Pass|Irving|TX|75062|3559955639351281|Outdoors|1918.34|Shoes|9492.48|Home|7089.40
11|Netty|Atcheson|704-127-7344|Pierstorff|1834 Clemons Crossing|Charlotte|NC|28278|201848450525547|Sports|2343.55|Computers|1472.39|Sports|8416.87
12|Jemima|Fitt|850-477-3876|Northfield|15711 Bobwhite Junction|Pensacola|FL|32520|3544872274654085|Books|1211.92|Games|9134.71|Movies|6779.60
13|Cirillo|Carlsen|213-987-8875|Butternut|57950 Anzinger Way|Los Angeles|CA|90050|6380441317279365|Automotive|7626.70|Electronics|3892.98|Electronics|678.08
14|Isaak|McConway|863-595-1406|Erie|50528 Towne Circle|Lakeland|FL|33805|3552143783708419|Shoes|2421.99|Grocery|4947.28|Movies|2976.00
15|Nomi|Emberson|269-858-0057|Kinsman|0 Southridge Alley|Kalamazoo|MI|49006|3558795878980528|Books|2709.46|Clothing|7451.47|Sports|7979.71
16|Kristyn|Rylands|415-447-9693|Monument|781 Sycamore Lane|San Francisco|CA|94164|3563229185330535|Baby|5211.14|Automotive|7455.14|Industrial|9501.82
17|Eydie|McAne|310-245-7004|North|863 Corscot Crossing|Long Beach|CA|90805|3540829117151343|Outdoors|6669.06|Beauty|7466.42|Tools|7079.44
18|Kiri|Beel|810-599-7734|Eastwood|40391 Schlimgen Terrace|Flint|MI|48550|676168722640690016|Kids|7896.79|Computers|2299.90|Computers|8481.38
19|Lucretia|Lawrance|954-781-3505|Shopko|69 Pankratz Junction|Miami|FL|33169|3561630758070105|Health|4760.63|Industrial|2225.89|Tools|1032.67
20|Waiter|Ingham|253-290-6838|Delaware|1 Mallory Junction|Tacoma|WA|98442|3568365443801555|Computers|8129.18|Jewelry|8037.81|Computers|450.91
21|Boothe|Raddon|402-795-5255|Troy|91 Thackeray Lane|Omaha|NE|68124|30254884378248|Grocery|9532.12|Kids|2025.26|Grocery|6781.75
22|Boote|L'oiseau|530-862-8436|Anniversary|04 Lotheville Street|Sacramento|CA|95818|3539013337518895|Health|3688.11|Outdoors|2928.30|Electronics|1333.92
23|Cordie|Kilford|361-929-9677|Division|76823 Blue Bill Park Park|Corpus Christi|TX|78465|5602254882609526|Garden|9240.96|Movies|9674.50|Automotive|3200.53
24|Em|Harvard|763-818-0869|Weeping Birch|8785 Dorton Park|Maple Plain|MN|55572|201498370214051|Baby|3063.72|Music|4647.06|Health|1079.44
25|Ahmad|Bawden|225-593-3577|Transport|19 Mesta Terrace|Baton Rouge|LA|70826|201930080596088|Outdoors|5928.06|Movies|1872.91|Industrial|160.23
26|Stacy|Brussels|757-111-0253|Manufacturers|72776 Mcguire Hill|Newport News|VA|23612|4903135386952354464|Toys|2753.75|Sports|6917.87|Shoes|8583.82
27|Eleonore|Angric|916-947-6553|Forest|41 Clyde Gallagher Parkway|Sacramento|CA|94297|3575162535667635|Jewelry|7539.46|Jewelry|2838.01|Toys|7352.19
28|Wendeline|Verbruggen|757-102-8497|Moulton|64553 Mccormick Junction|Virginia Beach|VA|23471|3538704056910435|Clothing|3030.30|Toys|3198.69|Movies|8254.88
29|Ingra|Haggar|571-708-4891|Corry|422 Shasta Terrace|Falls Church|VA|22047|5048371964878340|Books|5381.03|Industrial|2003.51|Automotive|2242.70
30|Blakeley|MacInerney|754-768-7707|Morningstar|7 Kropf Crossing|Fort Lauderdale|FL|33310|3569594135533510|Clothing|436.63|Kids|1770.37|Music|1356.69
31|Doralynn|Fanshawe|520-815-3019|Pleasure|14 Maple Wood Lane|Tucson|AZ|85732|5100143110872542|Books|1746.63|Garden|1408.29|Outdoors|9813.39
32|Jeddy|MacCague|281-145-8701|Lakewood|9153 Hoepker Way|Houston|TX|77005|4911299362679970077|Beauty|3941.62|Industrial|582.06|Beauty|5512.88
33|Pegeen|Clausen-Thue|941-292-5592|Blaine|9728 Lukken Junction|North Port|FL|34290|4903779582978270327|Clothing|3.06|Shoes|5684.33|Music|6306.54
